epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.252,1.07576,1.08506,1.26454,0.78582,0.66575,0.77296,0.49227,1.52535,1.15283,1.52374,0.0701103,0.00332108,0.00332108
2,222.981,1.10111,1.12794,1.27514,0.74969,0.69379,0.75235,0.49737,1.45667,1.13851,1.5217,0.0399456,0.00648972,0.00648972
3,323.574,1.13455,1.20883,1.29428,0.59216,0.55594,0.54165,0.32157,1.61715,1.46138,1.60691,0.0096159,0.00949335,0.00949335
4,430.511,1.17502,1.30141,1.31372,0.59196,0.63418,0.65206,0.40951,1.50769,1.37749,1.54947,0.0092575,0.0092575,0.0092575
5,534.823,1.17072,1.29631,1.31322,0.6291,0.57587,0.59501,0.36626,1.59878,1.35786,1.63651,0.00901,0.00901,0.00901
6,640.077,1.16852,1.28665,1.3115,0.71103,0.62641,0.71106,0.45229,1.47578,1.21207,1.53313,0.0087625,0.0087625,0.0087625
7,744.257,1.16121,1.27406,1.30413,0.63278,0.65099,0.66691,0.42307,1.54642,1.27205,1.57502,0.008515,0.008515,0.008515
8,850.68,1.16199,1.27333,1.31061,0.7445,0.63305,0.72949,0.46792,1.4681,1.19622,1.54639,0.0082675,0.0082675,0.0082675
9,953.62,1.15612,1.25684,1.3039,0.62095,0.57903,0.60033,0.38029,1.49182,1.33454,1.56411,0.00802,0.00802,0.00802
10,1058.02,1.15324,1.24503,1.30427,0.71826,0.57453,0.69515,0.43532,1.57719,1.33866,1.60224,0.0077725,0.0077725,0.0077725
11,1164.39,1.1534,1.24585,1.30463,0.62047,0.61274,0.65752,0.42244,1.49744,1.41805,1.55532,0.007525,0.007525,0.007525
12,1271.4,1.14454,1.23654,1.30129,0.69761,0.59532,0.65247,0.41261,1.54494,1.31357,1.5628,0.0072775,0.0072775,0.0072775
